href,stress_address,city,state_and_zip,county,img_href,beds,bath,area,year_built,lot_size,walk_score,transit_score,bike_score,cooling,heating,has_pool,price
https://www.redfin.com/IA/Perry/1102-28th-ST-50220/home/176369336,1102 28th St,Perry, IA 50220,Dallas County,https://ssl.cdn-redfin.com/photo/233/bigphoto/488/637488_2.jpg https://ssl.cdn-redfin.com/photo/233/mbpaddedwide/488/genMid.637488_1_2.jpg,2,2,1289,1968,0,13,0,29,1,3,0,269900
https://www.redfin.com/NC/Morganton/3078-Village-Dr-28655/home/119131963,3078 Village Dr,Morganton, NC 28655,Burke County,https://ssl.cdn-redfin.com/photo/103/bigphoto/718/3801718_1.jpg https://ssl.cdn-redfin.com/photo/103/mbpaddedwide/718/genMid.3801718_7_0.jpg https://ssl.cdn-redfin.com/photo/103/mbpaddedwide/718/genMid.3801718_21_2.jpg,3,2.5,1440,1993,0,1,0,3,0,0,0,224900
https://www.redfin.com/TX/LYTLE/18210-MAUREEN-PATH-78052/home/48774319,18210 Maureen Path,Lytle, TX 78052,Atascosa County,https://ssl.cdn-redfin.com/photo/108/bigphoto/018/1546018_0.jpg https://ssl.cdn-redfin.com/photo/108/mbpaddedwide/018/genMid.1546018_7_0.jpg https://ssl.cdn-redfin.com/photo/108/mbpaddedwide/018/genMid.1546018_21_0.jpg,4,2,2139,1930,0,11,0,28,0,0,0,195000
https://www.redfin.com/AZ/Phoenix/2617-W-Moura-Dr-85085/home/88365588,2617 W MOURA Dr,Phoenix, AZ 85085,Maricopa County,https://ssl.cdn-redfin.com/photo/86/bigphoto/535/6316535_0.jpg https://ssl.cdn-redfin.com/photo/86/mbpaddedwide/535/genMid.6316535_7_0.jpg https://ssl.cdn-redfin.com/photo/86/mbpaddedwide/535/genMid.6316535_22_0.jpg,4,4,2707,2017,0,5,0,36,0,0,0,765000
https://www.redfin.com/MD/Annapolis/2711-Summerview-Way-21401/unit-9202/home/10052243,2711 Summerview #9202,Annapolis, MD 21401,Anne Arundel County,https://ssl.cdn-redfin.com/photo/235/bigphoto/902/MDAA2011902_2.jpg https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/902/genMid.MDAA2011902_13_2.jpg https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/902/genMid.MDAA2011902_39_1.jpg,1,1.5,1266,1991,0,5,20,1,0,0,0,295000
https://www.redfin.com/IL/Buffalo-Grove/973-Pine-Tree-Cir-S-60089/home/17638939,973 Pine Tree Cir S #0,Buffalo Grove, IL 60089,Lake County,https://ssl.cdn-redfin.com/system_files/media/618777_JPG/item_16.jpg https://ssl.cdn-redfin.com/system_files/media/618777_JPG/genLdpUgcMediaBrowserUrl/item_26.jpg https://ssl.cdn-redfin.com/system_files/media/618777_JPG/genLdpUgcMediaBrowserUrl/item_27.jpg,2,1,1035,1988,0,28,0,59,1,1,0,212000
https://www.redfin.com/CA/Norwalk/14008-Elmcroft-Ave-90650/home/7778704,14008 Elmcroft Ave,Norwalk, CA 90650,Los Angeles County,https://ssl.cdn-redfin.com/photo/45/bigphoto/090/DW21245090_0.jpg https://ssl.cdn-redfin.com/photo/45/mbpaddedwide/090/genMid.DW21245090_5_0.jpg https://ssl.cdn-redfin.com/photo/45/mbpaddedwide/090/genMid.DW21245090_17_1.jpg,3,1,1072,1950,0,65,49,51,0,0,0,619900
https://www.redfin.com/NY/Brooklyn/1517-Royce-St-11234/unit-3O/home/40661421,1517 Royce St Unit 3o,Brooklyn, NY 11234,Kings County,https://ssl.cdn-redfin.com/photo/187/bigphoto/325/1150325_2.jpg https://ssl.cdn-redfin.com/photo/187/mbpaddedwide/325/genMid.1150325_8_2.jpg https://ssl.cdn-redfin.com/photo/187/mbpaddedwide/325/genMid.1150325_26_2.jpg,2,2,1102,1968,0,58,76,57,0,0,0,599888
https://www.redfin.com/LA/New-Orleans/2108-Conti-St-70112/home/79272331,2108-10 Conti St,New Orleans, LA 70119,Orleans Parish,https://ssl.cdn-redfin.com/photo/166/bigphoto/410/2320410_1.jpg https://ssl.cdn-redfin.com/photo/166/mbpaddedwide/410/genMid.2320410_8_1.jpg https://ssl.cdn-redfin.com/photo/166/mbpaddedwide/410/genMid.2320410_26_1.jpg,4,2,1500,1920,0,76,78,96,0,0,0,269000
https://www.redfin.com/NC/Mooresville/128-Stibbs-Cross-Rd-28115/home/143354361,128 Stibbs Cross Rd,Mooresville, NC 28115,Iredell County,https://ssl.cdn-redfin.com/photo/103/bigphoto/911/3802911_0.jpg https://ssl.cdn-redfin.com/photo/103/mbpaddedwide/911/genMid.3802911_12_0.jpg https://ssl.cdn-redfin.com/photo/103/mbpaddedwide/911/genMid.3802911_36_0.jpg,5,4,3029,2017,0,0,0,16,0,0,0,547000
https://www.redfin.com/AL/Decatur/4406-Kiowa-Trl-SE-35603/home/134304616,4406 Kiowa Trl SE,Decatur, AL 35603,Morgan County,https://ssl.cdn-redfin.com/photo/252/bigphoto/889/1792889_2.jpg https://ssl.cdn-redfin.com/photo/252/mbpaddedwide/889/genMid.1792889_12_0.jpg https://ssl.cdn-redfin.com/photo/252/mbpaddedwide/889/genMid.1792889_37_0.jpg,4,4,5003,1995,0,0,0,25,0,2,0,740474
https://www.redfin.com/NY/Brooklyn/148-Bay-49th-St-11214/unit-3C/home/40925007,148 Bay 49th St Unit 3C,Brooklyn, NY 11214,Kings County,https://ssl.cdn-redfin.com/photo/204/bigphoto/541/456541_0.jpg https://ssl.cdn-redfin.com/photo/204/mbpaddedwide/541/genMid.456541_9_0.jpg https://ssl.cdn-redfin.com/photo/204/mbpaddedwide/541/genMid.456541_27_0.jpg,3,2,1073,2007,0,78,97,64,0,0,0,659000
https://www.redfin.com/TX/De-Leon/751-Co-Rd-463-76444/home/73762057,751 County Road 463,De Leon, TX 76444,Comanche County,https://ssl.cdn-redfin.com/photo/90/bigphoto/275/14635275_4.jpg https://ssl.cdn-redfin.com/photo/90/mbpaddedwide/275/genMid.14635275_6_3.jpg https://ssl.cdn-redfin.com/photo/90/mbpaddedwide/275/genMid.14635275_18_1.jpg,2,1,1344,1920,0,0,0,18,0,0,0,127000
https://www.redfin.com/CA/Apple-Valley/15575-Wichita-Rd-92307/home/3711051,15575 Wichita Rd,Apple Valley, CA 92307,San Bernardino County,https://ssl.cdn-redfin.com/photo/45/bigphoto/538/540538_0.jpg https://ssl.cdn-redfin.com/photo/45/mbpaddedwide/538/genMid.540538_8_0.jpg https://ssl.cdn-redfin.com/photo/45/mbpaddedwide/538/genMid.540538_24_0.jpg,3,2,1765,1984,0,11,23,28,0,0,0,395000
https://www.redfin.com/NY/North-Syracuse/336-Chestnut-St-13212/home/92437429,336 Chestnut St,Clay, NY 13212,Onondaga County,https://ssl.cdn-redfin.com/photo/189/bigphoto/119/S1363119_0.jpg https://ssl.cdn-redfin.com/photo/189/mbpaddedwide/119/genMid.S1363119_11_0.jpg https://ssl.cdn-redfin.com/photo/189/mbpaddedwide/119/genMid.S1363119_35_0.jpg,3,1,1160,1930,0,20,0,30,0,0,0,84900
https://www.redfin.com/CA/Marina/2721-Sea-Glass-Ave-93933/home/143185491,2721 Sea Glass Ave,MARINA, CA 93933,Monterey County,https://ssl.cdn-redfin.com/photo/8/bigphoto/971/ML81866971_0.jpg https://ssl.cdn-redfin.com/photo/8/mbpaddedwide/971/genMid.ML81866971_4_0.jpg https://ssl.cdn-redfin.com/photo/8/mbpaddedwide/971/genMid.ML81866971_14_0.jpg,3,2.5,2118,2017,0,24,0,58,0,0,0,1075000
https://www.redfin.com/OH/Conneaut/281-Center-St-44030/home/79843028,281 Center St,Conneaut, OH 44030,Ashtabula County,https://ssl.cdn-redfin.com/photo/159/bigphoto/984/4305984_0.jpg https://ssl.cdn-redfin.com/photo/159/mbpaddedwide/984/genMid.4305984_2_0.jpg https://ssl.cdn-redfin.com/photo/159/mbpaddedwide/984/genMid.4305984_6_0.jpg,3,1,1044,1920,0,36,0,36,0,2,0,89900
https://www.redfin.com/TX/Keller/844-Keller-Smithfield-Rd-S-76248/home/31125119,844 Keller Smithfield Rd S,Keller, TX 76248,Tarrant County,https://ssl.cdn-redfin.com/photo/90/bigphoto/263/14620263_3.jpg https://ssl.cdn-redfin.com/photo/90/mbpaddedwide/263/genMid.14620263_9_3.jpg https://ssl.cdn-redfin.com/photo/90/mbpaddedwide/263/genMid.14620263_27_3.jpg,6,7,7978,2006,0,4,0,23,0,0,0,3150000
