beds, bath, area, stress_address, city, state, year_built, lot_size, county, walk_score, transit_score, bike_score, lot_size, cooling, heating, pooling, parking_size, img_href, price
3, 3, 3214, 401 Harrison St Unit 46B, San Francisco, CA 94105, 2014, 1.2861, San Francisco County, 93, 100, 57, 1.2861, Central, Central, Yes, 2, https://ssl.cdn-redfin.com/system_files/media/622779_JPG/item_10.jpg https://ssl.cdn-redfin.com/system_files/media/622779_JPG/genLdpUgcMediaBrowserUrl/item_29.jpg https://ssl.cdn-redfin.com/system_files/media/622779_JPG/genLdpUgcMediaBrowserUrl/item_85.jpg, $7900000
3, 1, 1206, 38 Clinton Ave, Fort Plain, NY 13339, 1946, 1.2861, Montgomery County, 37, None, 18, 1.2861, Central, Central, Yes, 2, https://ssl.cdn-redfin.com/photo/175/bigphoto/786/202131786_0.jpg https://ssl.cdn-redfin.com/photo/175/mbpaddedwide/786/genMid.202131786_4_0.jpg https://ssl.cdn-redfin.com/photo/175/mbpaddedwide/786/genMid.202131786_15_0.jpg, $129900
