href,stress_address,city,state_and_zip,county,img_href,beds,bath,area,year_built,lot_size,walk_score,transit_score,bike_score,lot_size,cooling,heating,has_pool,parking_size,price
https://www.redfin.com/WI/Lakewood/15301-Pleasant-Hill-Ln-54138/home/89407514,15301 Long St,Listing provided courtesy of Todd Wiese Homeselling System, Inc.,Oconto County,https://ssl.cdn-redfin.com/photo/130/bigphoto/965/50247965_8.jpg https://ssl.cdn-redfin.com/photo/130/mbpaddedwide/965/genMid.50247965_8_8.jpg https://ssl.cdn-redfin.com/photo/130/mbpaddedwide/965/genMid.50247965_24_8.jpg,3,1.5,1493,—,None,35,None,25,None,None,None,None,None,$129900
https://www.redfin.com/ID/Boise/11237-Powderhorn-St-83713/home/106748560,11237 W Powderhorn St,Boise, ID 83713,Ada County,https://ssl.cdn-redfin.com/photo/228/bigphoto/053/98825053_0.jpg https://ssl.cdn-redfin.com/photo/228/mbpaddedwide/053/genMid.98825053_9_0.jpg https://ssl.cdn-redfin.com/photo/228/mbpaddedwide/053/genMid.98825053_28_0.jpg,4,2,1752,1977,None,32,None,45,None,Central Air,Forced Air| Gas| Wood,None,None,$450000
https://www.redfin.com/OR/Cannon-Beach/Waterhouse-RD-97110/home/175760514,Waterhouse Rd,Cannon Beach, OR 97110,Clatsop County,https://ssl.cdn-redfin.com/photo/84/bigphoto/831/21379831_0.jpg https://ssl.cdn-redfin.com/photo/84/mbpaddedwide/831/genMid.21379831_1_0.jpg https://ssl.cdn-redfin.com/photo/84/mbpaddedwide/831/genMid.21379831_4_0.jpg,—,—,165.00,—,None,34,None,20,None,None,None,None,None,$2999000
https://www.redfin.com/WA/Royal-City/11549-Rd-E-SW-99357/home/113059988,11549 Road East SW,Listing provided courtesy of COMPASS.,Grant County,https://ssl.cdn-redfin.com/photo/1/bigphoto/252/1616252_3.jpg https://ssl.cdn-redfin.com/photo/1/mbpaddedwide/252/genMid.1616252_6_3.jpg https://ssl.cdn-redfin.com/photo/1/mbpaddedwide/252/genMid.1616252_20_3.jpg,4,4,8000,—,41.9999,0,None,25,41.9999,None,None,None,None,$2200000
https://www.redfin.com/GA/TOWNSEND/EAGLE-NECK-DR-31331/home/138015069,0 Eagle Neck Dr NE,Townsend, GA 31331,McIntosh County,https://ssl.cdn-redfin.com/photo/260/bigphoto/809/259809_0.jpg https://ssl.cdn-redfin.com/photo/260/mbpaddedwide/809/genMid.259809_12_0.jpg https://ssl.cdn-redfin.com/photo/260/mbpaddedwide/809/genMid.259809_36_0.jpg,—,—,1.00,—,1,0,None,25,1,None,None,None,None,$65000
https://www.redfin.com/CT/Milford/95-Covington-Dr-06461/home/53919276,95 Covington Dr,Milford, CT 06461,New Haven County,https://ssl.cdn-redfin.com/photo/234/bigphoto/130/170449130_4.jpg https://ssl.cdn-redfin.com/photo/234/mbpaddedwide/130/genMid.170449130_6_4.jpg https://ssl.cdn-redfin.com/photo/234/mbpaddedwide/130/genMid.170449130_20_0.jpg,3,2,1456,1986,None,13,None,21,None,None,None,None,None,$325000
https://www.redfin.com/NH/Dover/3-Hidden-Valley-Dr-03820/unit-3/home/113729646,00 Hidden Valley Dr Lot 3,Listing provided courtesy of Keller Williams Coastal Realty.
Listed by Lois Widi •Keller Williams Coastal Realty
Listed by Alan Newson •Keller Williams Coastal Realty,Strafford County,https://ssl.cdn-redfin.com/photo/154/bigphoto/123/4883123_2.jpg https://ssl.cdn-redfin.com/photo/154/mbpaddedwide/123/genMid.4883123_3_1.jpg https://ssl.cdn-redfin.com/photo/154/mbpaddedwide/123/genMid.4883123_9_2.jpg,—,—,15.70,—,None,5,None,23,None,None,None,None,None,$300000
https://www.redfin.com/FL/Ocala/936-SW-35th-Ln-34471/home/140595844,936 SW 35th Ln,OCALA, FL 34471,Marion County,https://ssl.cdn-redfin.com/photo/118/bigphoto/863/OM628863_0.jpg https://ssl.cdn-redfin.com/photo/118/mbpaddedwide/863/genMid.OM628863_7_0.jpg https://ssl.cdn-redfin.com/photo/118/mbpaddedwide/863/genMid.OM628863_22_0.jpg,3,3,2305,1995,0.4,1,0,33,0.4,None,None,None,None,$414900
